level1	level2
P21642	4.1.1.32
P23247	1.2.1.11
Q92947	1.3.8.6
P96688	3.1.1.1
P39928	2.7.13.3
Q07688	2.7.13.3
P17424	1.17.4.1
P22352	1.11.1.9
Q833Y3	4.2.1.136
Q03426	2.7.1.36
P17256	2.7.1.36
P13035	1.1.5.3
P9WMR3	3.6.4.12
O52791	1.13.11.46
Q5NHR1	2.7.7.1
B2CCB8	2.4.1.14
Q1R3Q1	7.5.2.1
Q9Q6Q5	2.7.7.48
Q74DN1	2.7.13.3
P19139	2.7.11.1
Q57600	6.3.4.23
P22983	2.7.9.1
Q8U0R7	6.3.4.23
Q6S996	3.1.4.17
Q883V3	2.7.13.3
Q9X1U7	7.1.2.2
O05650	1.2.7.1
D0VWY5	1.8.1.16
Q8EY89	1.18.1.2
Q9KFH7	1.17.4.1
P54375	1.15.1.1
Q8IDC6	1.5.1.2
P60043	3.1.1.4
P60044	3.1.1.4
Q9ZST4	2.7.2.8
Q82IZ1	1.14.11.35
Q9JYN6	2.7.2.4
Q9PDE3	1.8.4.2
Q6IMI6	2.8.2.2
Q02779	2.7.11.25
Q6KZ68	1.14.14.1
Q2S9K4	4.3.3.7
D0VWY7	1.1.3.21
D0VWP7	1.1.3.21
Q8PIS1	3.6.1.9
Q4L5E3	6.1.1.20
Q4L5E4	6.1.1.20
Q8DV70	3.5.99.6
P31723	3.2.1.113
Q0P823	2.3.1.117
Q5A3V6	4.1.99.12
O97791	2.7.11.1
Q9FBC2	2.3.1.179
A0F6C5	3.4.23.16
P54965	3.5.1.24
P30412	5.2.1.8
P00799	3.4.23.23
Q62868	2.7.11.1
P29253	3.1.26.4
O09114	5.3.99.2
Q8DLG7	7.1.2.2
O74049	5.2.1.8
P29366	2.7.11.1
Q03497	2.7.11.1
P23869	5.2.1.8
O70133	3.6.4.13
P48816	3.2.1.17
P32577	2.7.10.2
Q9JM80	2.7.10.2
P0A836	6.2.1.5
P0AGE9	6.2.1.5
P10880	2.7.1.71
P01074	3.4.21.4
P10293	3.4.21.4
P35031	3.4.21.4
P16099	1.5.8.2
P96110	1.4.1.3
P07805	4.1.1.17
P04177	1.14.16.2
P39040	1.8.1.12
P45352	2.1.1.45
P02779	1.8.3.2
Q8HZM5	6.3.1.2
O96759	2.5.1.26
Q1EG59	3.4.21.4
A0A2P0HI46	1.1.1.100
Q9HA47	2.7.1.48
P07528	3.2.1.8
Q5FYV5	2.7.7.9
P11436	3.5.1.4
Q5SIL5	4.2.1.10
P11889	3.1.4.12
Q1R415	2.7.1.5
Q9PPP5	2.7.1.21
P94692	1.2.7.1
Q5HH38	4.1.3.36
A0R559	4.6.1.12
P05129	2.7.11.13
P0DQD2	2.7.10.1
P16703	2.5.1.47
Q9P2D1	3.6.4.12
P32871	2.7.1.153
Q47XN7	1.14.16.1
Q02053	6.2.1.45
Q9HTK8	1.18.1.1
Q9HTK9	1.18.1.1
P28503	3.4.21.5
P15034	3.4.11.9
P30520	6.3.4.4
Q1AN22	1.11.1.15
P81186	1.9.6.1
P45573	1.8.99.5
P45574	1.8.99.5
P45575	1.8.99.5
P0A7E9	2.7.4.22
P61587	2.7.11.1
P0A3F4	2.7.2.8
Q6V1L5	2.7.2.8
Q47098	4.1.2.52
P28827	3.1.3.48
O93541	1.1.1.27
P50933	1.1.1.27
Q6PQJ9	1.3.1.3
O86043	5.2.1.4
Q2Q449	4.2.1.96
P36108	3.6.4.6
P25080	4.2.1.49
Q13555	2.7.11.17
A1JSS8	4.2.2.2
B7XC04	3.2.1.3
Q84DB4	1.11.1.6
P52687	2.7.13.3
P32169	4.1.2.19
P28248	3.5.4.13
Q9PPX6	2.7.4.22
Q97U29	2.7.1.178
P39058	2.3.1.175
Q8L388	4.1.1.1
Q9R381	2.3.1.82
Q60365	2.7.1.161
Q07607	4.3.3.7
Q5ZXE0	5.2.1.8
Q16772	2.5.1.18
Q9BV79	1.3.1.104
O34520	2.4.2.17
O27550	2.4.2.17
Q09013	2.7.11.1
P23901	1.1.1.21
P00873	4.1.1.39
Q72X44	2.3.1.31
Q03774	2.1.1.33
Q12009	2.1.1.33
P59655	2.5.1.15
O67060	2.7.1.148
Q9ZBU1	1.1.3.41
P9WFF5	2.5.1.68
P29127	3.2.1.8
Q07524	2.4.1.207
P14532	1.11.1.5
Q9NQC7	3.4.19.12
Q9VI04	3.5.1.6
O34450	3.5.1.25
P9WHE9	2.5.1.78
O14544	2.7.10.1
P16219	1.3.8.1
Q9U1G7	1.8.4.8
O08838	3.1.3.36
O43426	3.1.3.36
P17427	3.1.3.36
O06644	2.8.3.16
Q59310	3.2.1.18
P08018	2.7.12.2
P40073	2.7.12.2
Q9H0P0	3.1.3.5
Q96W94	3.5.1.6
A3FMN7	3.1.21.4
Q94BW3	3.2.2.22
P16497	2.7.13.3
Q7XZK2	1.8.1.9
Q7XZK3	1.8.1.9
P10632	1.14.14.1
P17901	3.2.1.4
Q45996	3.2.1.4
Q46822	5.3.3.2
O29675	4.2.99.18
P9WQB1	1.4.1.1
I6Y0R5	6.3.2.17
Q93NG3	1.14.13.10
Q711P7	6.3.1.9
A3DDK4	3.1.1.72
P15329	3.1.1.72
P37798	6.3.4.14
Q9XZT6	2.7.1.145
Q6SJ71	2.3.1.82
Q72EF3	1.7.2.2
Q72EF4	1.7.2.2
Q14117	3.5.2.2
Q13WK4	1.2.1.3
O69262	3.2.1.55
Q9UZR7	2.1.1.35
P09989	3.2.2.22
O89343	3.2.1.18
P10081	3.6.4.13
P39935	3.6.4.13
Q84KJ5	4.1.99.3
Q81SV8	2.7.4.6
P35049	3.4.21.4
Q8WQ22	3.4.21.4
B2LWN3	3.2.1.8
Q0QLE9	3.5.2.18
Q869A6	1.11.1.9
P9WKD7	5.3.1.6
P37351	5.3.1.6
Q836J0	5.1.1.3
Q977U7	1.1.1.47
P76469	4.1.2.53
E2DI02	1.13.11.49
P49915	6.3.5.2
O73951	3.2.1.39
P28629	4.1.1.19
Q5KU75	3.6.4.12
Q8SU65	3.5.1.41
Q9ESV6	1.2.1.12
A5YV76	2.3.1.85
P9WPP9	1.14.14.154
P68693	2.7.4.9
Q6PB44	3.1.3.48
A7KT36	2.3.2.12
P0A7B5	2.7.2.11
P35219	4.2.1.1
P15153	3.1.4.11
P16885	3.1.4.11
Q8G998	2.1.3.3
Q3I4V7	4.2.1.1
O30463	1.5.1.3
Q8DV82	3.5.1.41
Q8IDI4	2.7.1.30
Q9RSC1	3.6.1.13
P32321	3.5.4.12
Q16566	2.7.11.17
O54050	1.17.1.4
O54051	1.17.1.4
I1RH17	3.2.1.55
Q9KWY4	3.1.3.1
B2IZD3	3.6.5.5
Q9X0C7	5.3.1.16
Q7SIB6	2.1.2.1
O15021	2.7.11.1
Q4GZ95	6.3.4.2
B6ENP9	1.15.1.1
Q51815	3.2.1.55
P51649	1.2.1.24
I3NI58	1.1.1.44
P13955	1.5.1.3
B3PIB0	3.1.1.72
A0A0F7RB29	3.2.1.17
Q99Z19	4.2.2.1
B8GZM2	2.7.7.65
P39051	1.8.1.12
Q8AAK6	3.2.1.25
Q06A71	2.5.1.18
Q7WZ62	1.1.3.13
O86785	2.7.8.7
P03195	3.6.1.23
Q8IKM8	3.4.19.12
A0QQG1	1.17.1.4
O95861	3.1.3.7
Q1AN23	1.11.1.15
Q9XG81	3.1.1.4
Q00277	1.11.1.9
Q99ZZ7	3.2.1.35
A9LN30	1.8.1.9
Q8KRJ3	3.5.2.6
G1K3N4	3.2.1.78
P49424	3.2.1.78
A5HEI4	7.1.2.2
O28314	3.1.22.4
P19971	2.4.2.4
B2IUW9	3.2.1.54
A9BPK4	3.5.1.49
P07097	2.3.1.9
Q91XM9	2.7.4.8
Q99YU7	1.16.3.1
P9WPP3	1.14.15.14
Q9X4B8	3.1.3.48
Q874E3	3.2.1.6
Q02745	2.4.99.4
O43921	2.7.10.1
Q5IJ48	2.7.12.1
P14300	3.2.2.24
Q9P7F8	7.3.2.7
Q59643	4.2.1.24
P16753	3.4.21.97
P15445	3.1.1.4
Q8SXK5	4.1.99.3
P0CS93	1.1.3.9
O67004	3.1.3.5
P77608	4.2.1.80
D0VWW3	1.3.5.1
D0VWP8	3.1.1.53
D0VWP9	3.1.1.53
Q70E11	3.5.2.6
P30112	2.5.1.18
Q9NAW7	2.5.1.18
C6TEX2	1.97.1.12
P12353	1.97.1.12
P17230	1.97.1.12
P22179	1.97.1.12
P36886	1.97.1.12
Q41385	1.97.1.12
Q84U30	1.97.1.12
Q9S831	1.97.1.12
P38913	2.7.7.2
Q9ZLB9	3.5.1.1
B0VA03	3.5.1.19
Q7RTN6	2.7.11.1
A0A0H2UNQ9	2.3.2.12
P31677	2.4.1.15
Q84CN9	3.1.3.8
P0A759	3.5.99.6
P07014	1.3.5.1
P0AC41	1.3.5.1
P0AC44	1.3.5.1
P69054	1.3.5.1
P9WN69	5.3.1.9
Q56WD9	2.3.1.16
Q6W6X6	2.3.1.16
D0AB09	2.3.1.97
P03306	3.4.22.28
P04183	2.7.1.21
Q72K30	2.4.1.217
P62615	2.7.1.148
Q8DP07	3.2.1.17
Q66ED7	1.15.1.1
P29736	3.2.1.147
P69791	2.7.1.69
P69795	2.7.1.69
Q0TV31	3.1.4.3
P54868	2.3.3.10
Q99YP5	3.2.1.24
P13482	3.2.1.28
Q57UN0	6.3.2.3
O86516	4.2.2.1
Q58820	1.1.1.272
Q56F26	3.2.1.165
O08349	1.1.1.37
O76283	2.7.9.1
Q9Y243	2.7.11.1
P15802	2.3.1.164
A0R3E2	6.1.1.10
A0A140NEG9	2.7.2.8
Q9XCV5	3.2.1.78
P26175	6.6.1.1
P26239	6.6.1.1
Q8GMV9	3.4.24.39
Q9HYR2	2.3.1.180
Q6GDK5	6.3.2.1
O09496	4.2.2.7
Q0GC07	3.2.1.21
Q9H008	3.6.1.1
Q86YV6	2.7.11.1
Q9X0C3	2.7.7.13
Q9W1M7	2.7.1.137
P67910	5.1.3.20
Q7A0G9	4.3.2.2
Q8N4Q0	1.3.1.48
P23970	2.2.1.9
Q8A6X1	2.7.13.3
A4DA29	3.2.1.17
A5VD79	2.3.1.50
B0R9W3	3.1.3.1
Q58MU6	1.3.7.6
Q02189	1.3.7.2
P49765	2.7.10.1
P26841	2.3.1.28
Q9BZI7	3.6.4.13
P54865	3.2.1.8
Q04178	2.4.2.8
Q9HUV7	2.7.13.3
Q8T9N5	1.8.1.8
O66663	2.4.99.12
P12039	6.3.4.13
Q8CVW1	1.3.99.27
Q4QHU7	3.4.21.83
Q5YXQ1	5.2.1.1
D9N167	1.11.1.6
P0A9B6	1.2.1.72
Q02934	3.2.1.4
P16098	3.2.1.2
Q9A0M1	3.1.21.1
P56689	2.7.7.7
G1K3P1	1.11.1.15
Q46829	3.2.1.86
P45395	5.3.1.13
P9WJL3	6.3.2.13
E3YBA4	1.15.1.1
B0V9T6	5.6.2.2
B0VP98	5.6.2.2
P83749	3.6.5.4
Q8GHB2	2.5.1.111
O58762	2.4.1.245
A0A0H2WW38	4.2.99.20
G1UB44	3.2.1.22
Q9X0S8	3.2.1.89
Q6QDB5	1.5.1.33
Q96EP1	2.3.2.27
P30263	1.11.1.6
O49908	3.2.1.26
Q43866	3.2.1.26
D0AB41	3.4.21.62
Q12968	2.7.11.24
Q2CEE3	3.2.1.169
Q9U6M1	1.14.11.6
C7LV29	1.8.99.5
Q93UT0	1.8.99.5
Q93UT1	1.8.99.5
Q9NRR6	3.1.3.36
P13929	4.2.1.11
A6G7B1	3.8.1.5
O07819	1.8.2.1
P72178	1.8.2.1
P18064	3.6.5.1
Q13KT2	3.1.1.24
Q83XK4	1.14.13.8
P25397	2.1.1.265
Q873Y0	3.2.1.14
B0Y2Y2	3.2.1.14
Q72EC8	4.99.1.3
B3VH91	4.2.3.3
A0R560	2.7.7.60
Q05592	4.99.1.3
O29537	4.99.1.3
P23919	2.7.4.9
Q9VB68	3.4.21.4
Q2HR73	3.4.19.12
Q9UVQ2	1.10.3.2
P07854	1.14.19.2
P30771	3.6.4.13
P22735	2.3.2.13
C9E261	1.1.1.22
Q6PDM1	2.3.1.48
P96578	5.3.1.15
P82974	3.5.1.28
Q7CRA4	2.4.1.129
Q8G554	3.2.1.55
O08908	2.7.1.153
P0AES5	5.6.2.2
Q9RFR0	2.4.1.269
B4E7B5	6.2.1.30
B4EL89	6.2.1.30
Q9HZN6	4.1.3.38
Q9S7S8	3.2.1.41
B4E5F5	2.5.1.15
P48499	5.3.1.1
Q7WTN6	3.2.1.8
Q03137	2.7.10.1
O66914	2.7.7.38
B1JSA0	3.4.21.1
B0VHH0	2.3.1.247
P15735	2.7.11.19
Q4WEQ6	3.2.1.14
C7FF04	1.14.18.1
G1K3P4	1.14.18.1
Q8VDF3	2.7.11.1
Q38HX3	4.1.1.83
Q38HX4	4.1.1.83
O15826	3.6.1.23
Q7NXD4	3.1.3.97
P95417	2.1.1.107
P58315	4.1.2.13
P0DJQ5	2.3.1.35
P42251	3.1.3.1
P98005	7.1.1.9
Q5SH67	7.1.1.9
Q5SLI2	7.1.1.9
P89946	3.4.21.90
Q9RS96	3.6.1.9
E7GGS1	1.4.1.4
G4T4R7	3.2.1.22
P28997	1.4.1.2
Q74K42	2.4.1.9
B0F9F6	1.4.3.10
Q8NKS0	3.1.1.1
A3DJ82	3.2.1.4
O06543	5.1.99.4
P05417	7.1.1.8
P05418	7.1.1.8
P13627	7.1.1.8
Q97UU7	7.2.2.19
D9TQ02	5.1.2.1
Q66A71	1.11.1.15
P21507	3.6.4.13
P72097	2.4.99.6
P9WGL5	2.7.13.3
P0C6T4	3.4.22.69
Q7VD37	1.3.7.7
Q7VD38	1.3.7.7
Q7VD39	1.3.7.7
P07206	3.2.1.41
Q8I4S1	2.7.4.9
Q9P8P3	3.2.1.91
P06983	2.5.1.61
P02545	3.4.24.84
O74933	2.7.7.23
Q5KY94	4.2.1.10
Q9C035	2.3.2.27
Q5L3C7	6.3.4.13
Q9BZY9	2.3.2.27
O66440	4.2.1.10
O43559	2.7.10.1
O59493	2.1.1.216
P26715	3.1.3.48
Q96SE7	2.7.7.65
O54785	2.7.11.1
Q05655	2.7.11.13
Q5T5U3	1.14.19.33
Q58643	6.2.1.5
Q9YD40	6.2.1.5
Q5SKU8	1.2.1.11
Q52437	1.18.1.2
Q52440	1.18.1.2
O31662	5.3.1.23
O66653	2.1.1.36
Q5SM78	1.1.3.15
Q9YCR6	2.7.1.25
Q53W90	4.1.2.14
Q5SLI9	1.3.1.9
Q5SI28	6.3.5.2
O67618	3.6.5.n1
O67023	2.1.2.2
Q5L3D5	6.3.2.6
Q58033	4.1.1.21
Q9YBB1	5.4.99.2
Q57636	2.1.1.77
Q57695	4.3.3.7
P22643	3.8.1.5
Q9X1K5	4.1.1.20
Q5SL69	2.7.4.16
P75510	6.1.1.2
O67359	3.1.3.18
Q8KZM4	1.1.1.103
O66949	6.3.4.13
Q5SJP8	1.14.14.9
Q5L0U0	4.1.1.23
Q58546	1.2.1.59
Q7BJM5	3.5.2.6
Q9Y9D8	2.4.2.10
Q9WZQ4	3.1.3.71
Q5SK67	3.5.2.3
Q5L3D0	6.3.3.1
Q58987	6.3.2.6
O66608	4.1.1.21
Q5SKI6	2.1.1.193
Q72HN8	2.3.1.267
Q5SIP1	3.1.3.5
P10518	4.2.1.24
Q5SI17	3.2.1.41
Q5SJW0	1.3.99.3
P22505	3.2.1.21
P81708	3.2.1.17
Q06283	3.2.1.17
Q9SQF7	3.2.1.14
P0C2P0	3.5.4.23
P0A8P1	2.3.2.6
Q7MUW6	3.4.14.12
Q5SLG2	3.1.3.15
P84854	3.2.2.22
Q07951	3.4.25.1
Q12245	3.4.25.1
P62256	6.3.2.19
O33954	1.1.1.100
P21397	1.4.3.4
Q58097	2.6.1.1
Q9FBC5	1.3.1.9
Q9Y3C8	6.3.2.19
O58456	2.1.1.98
P21338	4.6.1.21
Q988D0	4.1.1.51
O67175	4.2.1.47
Q63716	1.11.1.15
Q988B8	2.6.1.30
Q75WP3	4.2.2.3
O59248	3.1.26.5
O59425	3.1.26.5
Q8U4D2	2.4.99.21
P46467	3.6.4.6
Q8WNV7	1.1.1.184
Q8VDQ1	1.3.1.48
Q8N8N7	1.3.1.48
O05207	5.6.2.2
O05208	5.6.2.2
Q8ZKT7	5.3.1.31
Q9S427	3.1.3.48
Q9C4M4	2.6.1.44
Q9RVU2	3.1.8.1
Q48428	3.5.2.6
Q9AEM1	4.1.1.32
P01665	3.4.21.77
P39315	1.6.5.2
Q7A649	1.14.14.18
Q33E90	3.2.1.20
P58758	2.5.1.27
Q53728	3.1.4.4
O93623	2.7.1.30
P61489	2.7.2.4
Q2SZ09	2.5.1.17
Q76DI4	3.5.2.6
O73946	3.6.4.12
P95276	3.3.2.10
Q9HK51	1.1.1.118
Q00722	3.1.4.11
O57742	5.4.2.1
P56156	3.4.21.92
B0S4P3	6.1.1.26
Q65ZI1	3.2.1.17
O67139	2.7.9.3
Q9D1A2	3.4.13.18
D0VWQ8	1.7.2.1
Q3IGF7	1.7.2.1
O58690	3.1.3.70
P60495	3.5.2.9
P84844	4.6.1.18
Q8EE30	3.1.26.4
Q13825	4.2.1.18
O31440	1.11.2.4
Q9M6E9	3.2.2.22
O58441	6.1.1.11
Q9WXP9	3.4.11.9
O66740	4.2.3.1
Q9Y9I9	5.4.3.8
O57950	2.5.1.16
P9WGW3	3.6.4.12
O59580	3.6.1.66
Q5KST5	1.1.1.30
Q53EL6	3.6.4.13
O58689	2.4.1.217
O59147	6.1.1.19
O31526	4.2.2.23
Q60363	3.1.1.29
F9VNF4	6.3.5.3
A5LHX0	2.4.99.4
Q9I596	3.5.1.23
Q9WYE2	3.2.1.51
Q53IZ1	4.1.1.12
A0A0J9WZ66	1.1.1.44
P9WNW7	1.13.11.25
O28511	3.1.1.3
Q8ZVI1	4.6.1.16
Q8ZYG6	4.6.1.16
O58035	6.1.1.7
B6F143	4.2.2.14
Q62625	2.4.2.15
Q9Y924	6.1.1.2
Q764N8	3.2.1.151
Q9X181	2.7.13.3
Q9X180	2.7.13.3
Q9WZZ1	1.1.1.267
Q76K71	4.99.1.5
P03431	2.7.7.48
Q7DKE4	3.5.1.4
Q82L26	3.2.1.22
A7BFV6	2.3.1.50
O73947	2.7.7.7
P13398	3.5.2.12
Q9YDW0	6.1.1.3
A8E0K8	3.4.16.4
P45161	3.4.16.4
P44466	3.4.16.4
P18910	4.6.1.2
Q9K189	5.3.4.1
Q9KB30	3.2.1.156
O59072	6.3.5.2
Q9AQQ8	3.5.1.44
Q94FV7	2.3.1.212
P83772	3.5.2.10
Q08751	3.2.1.135
P08337	3.6.1.55
Q9RBY1	3.1.1.3
Q7ZA77	3.2.1.55
P27248	2.1.2.10
Q5GHF7	2.5.1.27
P28269	2.6.1.18
Q8ZUN8	1.1.5.2
O87198	2.3.3.14
Q948P5	1.16.3.1
C0SSE7	5.3.1.25
Q68FT9	4.4.1.16
Q5KX27	3.1.21.2
Q5SK18	3.1.21.2
Q93C54	2.7.2.4
Q8KCB2	1.18.1.2
P26512	2.7.2.4
Q53WI4	5.3.2.2
O59312	1.4.1.18
D1GCC6	3.2.1.21
Q5SLS3	2.4.2.8
Q59290	3.2.1.4
Q50LE9	1.5.3.1
Q50LF0	1.5.3.1
Q50LF1	1.5.3.1
Q50LF2	1.5.3.1
P00571	2.7.4.3
P14755	1.1.1.45
Q86D28	4.4.1.11
P26163	1.3.7.7
P26164	1.3.7.7
Q8U1H5	3.2.1.14
P9WJA1	1.14.14.12
Q5JIZ5	3.4.21.62
P59337	3.8.1.5
D6RU56	1.1.1.126
Q06892	2.7.1.86
Q2FV22	6.3.2.1
Q8LDU4	1.3.7.12
C9K7J7	3.6.1.15
O26061	2.1.1.148
P00654	4.6.1.20
Q53EH2	3.2.1.21
A4PB64	1.1.1.289
Q6R3M4	2.7.7.7
Q6R2Q7	4.1.2.22
Q59034	2.1.1.257
P13470	2.4.1.5
O26157	6.1.1.17
Q976W8	3.1.1.1
Q1XH05	3.2.1.182
Q9FYS3	3.2.1.182
Q97BK3	1.1.1.103
Q9LBW4	4.1.2.43
Q9Y8H8	1.15.1.1
Q82P90	
Q9ZKJ5	2.7.11.1
F8W669	3.2.1.8
P07170	2.7.4.3
Q92547	3.6.4.13
A2RUC4	1.14.11.42
Q43576	3.2.1.14
F9VN79	3.1.26.4
Q58933	2.7.1.164
O31097	3.1.3.8
Q72IC0	1.4.1.3
Q72IC1	1.4.1.3
O60704	2.8.2.20
P00798	3.4.23.20
Q5SLG6	1.5.1.20
Q5HZ00	2.5.1.85
O66127	2.5.1.83
O66129	2.5.1.83
O81862	3.2.1.14
O84395	2.6.1.83
Q6L6Q4	3.1.26.4
G1ED17	3.2.1.39
B9ZZP0	3.1.1.3
Q5L3C9	2.1.2.2
O57946	2.6.1.7
Q8ZWA8	1.10.3.2
Q5SKY0	6.3.4.18
P77182	2.1.1.61
A9CP13	4.3.1.18
P53051	3.2.1.10
P0C512	4.1.1.39
Q0INY7	4.1.1.39
O67010	2.1.1.215
Q58293	2.1.1.228
P39485	1.1.1.47
Q5W9R9	1.13.12.9
Q9URH5	3.2.1.4
P08253	3.4.24.24
F2Z6J5	1.12.5.1
Q965D7	4.2.1.59
P0C8N8	7.1.1.6
Q9X273	3.2.1.4
Q9WXN1	3.2.1.39
Q765B0	5.2.1.8
Q76KA9	1.7.7.1
Q5SMC7	1.3.1.91
Q5SJ64	2.7.7.7
Q1JU72	3.8.1.3
P20507	4.2.1.1
A6BMJ3	4.4.1.8
Q8DUW0	1.3.1.12
Q9WVS6	2.3.2.31
Q2SZE4	2.7.1.143
P85800	3.4.21.5
Q6GMX6	2.7.10.1
Q87TF0	2.7.13.3
Q4AE70	2.1.1.319
D0VWS0	2.7.11.1
P9WGZ7	2.7.7.56
P36010	2.7.4.6
Q26964	3.2.1.18
Q16647	5.3.99.4
A5KBP6	4.6.1.12
P01730	2.7.10.2
Q9UHI6	3.6.4.13
O33897	3.2.1.4
O75344	5.2.1.8
P04806	2.7.1.1
A0A1Q4M8F7	3.5.4.4
P11439	2.4.2.36
Q9HUU1	4.1.1.112
O50325	4.2.2.2
P49748	1.3.8.9
F1RE08	5.3.99.4
Q9AMP1	3.2.1.14
Q9N2I2	3.4.21.5
P33022	3.2.2.8
Q8GNT2	1.13.11.50
P23940	3.1.21.4
Q65CJ7	1.1.1.237
P49053	1.11.1.10
P22392	2.7.4.6
Q9ERI2	3.6.5.2
Q9HCH5	3.6.5.2
Q6P6M7	2.9.1.2
B8CZ54	3.2.1.1
Q8IZT8	2.8.2.23
Q07955	2.7.11.1
Q81K32	5.1.3.14
Q9WZY5	2.7.1.33
Q93PQ0	3.5.2.6
Q59477	1.1.1.202
Q7WRJ3	1.1.1.202
Q76NM4	3.6.5.2
P00767	3.4.21.1
P46443	3.4.21.1
P11498	6.4.1.1
O55060	2.1.1.67
Q5UQX1	3.1.3.33
P23670	4.1.1.4
Q7NSA6	4.1.1.4
P00692	3.2.1.1
Q5ZXD1	4.3.2.2
Q13554	2.7.11.17
P22033	5.4.99.2
P30749	2.8.1.12
P48026	2.3.1.57
Q93DA9	2.7.1.69
P48650	3.1.1.4
Q8GJ84	3.8.1.2
Q02H15	5.3.1.28
P00807	3.5.2.6
P28241	1.1.1.41
P28834	1.1.1.41
P26827	2.4.1.19
P01764	3.4.21.109
Q9S1E5	1.7.2.2
Q38DG4	2.7.1.26
P17967	5.3.4.1
Q9WYA5	2.1.1.13
P69786	2.7.1.69
Q6NVY1	3.1.2.4
Q9X112	2.1.1.14
Q16760	2.7.1.107
Q97UA0	4.2.1.141
O35031	3.6.1.7
O31465	3.5.1.2
Q9Y6K9	2.7.11.10
P30949	5.4.3.8
P00693	3.2.1.1
O60930	3.1.26.4
P01675	3.4.21.73
P23003	2.1.1.35
P81122	2.7.10.1
Q5LLB1	1.13.11.4
Q9C004	2.3.2.27
Q9FDD4	1.7.3.1
Q5V5P7	2.7.13.3
Q9QXN5	1.13.99.1
Q56H30	3.4.16.5
Q977W3	1.13.11.55
Q8X8Y7	2.3.1.117
P0AEC8	2.7.13.3
Q9KQS3	2.7.13.3
P22391	3.5.2.6
P05655	2.4.1.10
P38051	5.4.4.2
P37595	3.4.19.5
P25373	1.20.4.1
P51110	1.1.1.219
Q00017	3.1.1.86
Q57991	2.7.2.4
P28507	3.4.21.5
P43619	2.4.2.19
Q9KLK7	2.7.13.3
A6VL88	5.1.1.1
Q15GI4	1.1.1.318
Q6YI95	2.1.1.104
D0VWX4	7.4.2.1
Q8R418	3.1.26.3
Q8NTA6	2.4.1.250
B4XMC6	4.1.1.20
D0VWT2	1.3.5.2
Q5KWH6	2.1.1.64
P29468	2.7.7.19
P45976	2.7.7.19
P52788	2.5.1.22
Q45071	3.2.1.55
P9WNE1	1.1.98.2
Q1GJR2	2.7.1.4
Q5ZXQ9	4.1.1.4
A0QZY0	6.1.1.16
P9WMM9	3.6.1.31
Q9HWG9	1.14.13.218
O67883	2.7.4.16
Q2WBH2	3.4.23.18
Q5I3E5	3.6.1.23
P00641	3.1.21.2
P23258	3.6.5.6
Q7YT17	3.2.1.17
P0A9N4	1.97.1.4
Q72LL6	2.6.1.39
O05512	3.2.1.78
Q9KBQ5	3.2.1.49
Q3MEY9	2.1.1.144
P04035	1.1.1.34
P42315	2.8.3.5
P42316	2.8.3.5
A0ZPR9	1.15.1.1
F9ULF9	1.1.1.18
Q9NR09	6.3.2.19
P43312	1.15.1.1
Q01853	3.6.4.6
Q46G04	1.2.7.4
Q46G05	1.2.7.4
Q8PVT6	2.7.8.28
Q15126	2.7.4.2
Q873X9	3.2.1.14
Q6FEW8	2.7.3.9
Q7YYQ9	1.2.1.12
Q9X1D6	5.5.1.4
P38134	2.7.10.2
Q836H8	2.3.1.89
P06396	3.1.21.1
P18014	6.3.2.19
P35625	3.4.24.86
Q9UBP6	2.1.1.33
Q73WU1	2.4.1.266
Q0QLF5	1.1.1.291
Q6DPL2	3.2.1.18
P15776	3.1.1.53
Q3KFK7	3.5.2.5
P56081	4.2.3.4
Q5F6E9	2.2.1.2
Q5SHQ9	2.7.4.3
P07239	3.1.3.48
Q9EA60	2.7.7.48
Q9WLS3	2.7.7.48
P40581	1.11.1.15
Q9HXE7	3.1.1.1
Q04HB7	5.1.1.1
P08319	1.1.1.1
P22637	1.1.3.6
D0VWT7	3.4.21.1
P19808	4.3.3.7
P53228	2.2.1.2
Q9KJU4	2.6.1.9
Q8XDI5	5.1.3.22
P85084	3.2.1.14
Q39249	1.23.5.1
Q05876	2.7.10.2
Q9CIV7	2.7.1.121
Q12657	2.7.1.25
P0AEY3	3.6.1.8
Q9HUL9	2.5.1.75
O75223	4.3.2.9
Q08225	3.4.14.4
A4HFB4	3.1.1.17
P74921	2.6.1.42
Q9CIV6	2.7.1.121
P17695	1.20.4.1
Q8W4U4	3.2.2.22
O95453	3.1.13.4
Q9NQW7	3.4.11.9
O94766	2.4.1.135
Q0I165	5.1.3.1
A0A0F7RL08	2.3.3.9
P13377	5.3.1.9
Q57W55	5.3.1.9
P08997	2.3.3.9
Q8GCH2	2.4.1.264
P22512	1.2.1.12
P03428	2.7.7.48
P23545	2.7.13.3
K0BE10	2.2.1.2
P00045	7.1.1.8
Q3JRF0	1.8.4.12
Q96EK6	2.3.1.4
Q83PB7	4.1.1.37
P0AE22	3.1.3.2
Q93DB0	2.7.1.69
Q6UVM5	3.2.1.48
Q27797	1.1.1.27
Q6XBH1	3.1.4.53
Q8EMJ7	4.3.3.7
O35393	3.2.1.18
Q9IH62	3.2.1.18
Q12305	2.8.1.1
P0A9C9	3.1.3.11
Q5FAK7	2.3.1.1
P75820	3.5.1.28
P03706	4.2.2.n2
P18054	1.13.11.31
Q8CQL3	2.5.1.75
